SSM_index	seg_index	subclone_ID
0	1	1
1	2	2
2	3	2
3	3	2
4	5	2
5	8	2
6	8	2
7	2	2
8	5	2
9	0	3
10	1	3
11	1	3
12	1	3
13	1	3
14	1	3
15	2	3
16	2	3
17	2	3
18	4	3
19	4	3
20	5	3
21	8	3
22	9	3
23	9	3
24	9	3
25	1	3
26	2	3
27	2	3
28	3	3
29	3	3
30	4	3
31	6	3
32	6	3
33	7	3
34	7	3
35	8	3
36	8	3
37	8	3
38	0	4
39	1	4
40	2	4
41	4	4
42	4	4
43	8	4
44	9	4
45	1	4
46	3	4
47	3	4
48	4	4
49	4	4
50	7	4
51	7	4
52	7	4
53	2	5
54	9	5
55	9	5
56	1	6
57	1	6
58	2	6
59	2	6
60	3	6
61	4	6
62	5	6
63	5	6
64	5	6
65	6	6
66	9	6
67	3	6
68	8	6
69	0	7
70	1	7
71	3	7
72	8	7
73	8	7
74	1	7
75	2	7
76	3	7
77	5	7
78	2	8
79	0	9
80	0	9
81	0	9
82	1	9
83	1	9
84	4	9
85	4	9
86	4	9
87	4	9
88	7	9
89	8	9
90	8	9
91	9	9
92	0	9
93	0	9
94	1	9
95	1	9
96	2	9
97	2	9
98	2	9
99	4	9
100	5	9
101	5	9
102	6	9
103	8	9
104	8	9
105	1	10
106	1	10
107	2	10
108	2	11
109	4	11
110	4	11
111	8	11
112	8	11
113	9	11
114	9	11
115	0	11
116	0	11
117	2	11
118	3	11
119	7	11
120	9	11
121	0	12
122	2	12
123	2	12
124	4	12
125	4	12
126	4	12
127	4	12
128	8	12
129	8	12
130	9	12
131	9	12
132	9	12
133	0	12
134	2	12
135	7	12
136	8	12
137	9	12
138	2	13
139	8	13
140	8	14
141	0	14
142	1	14
143	0	15
144	2	15
145	2	15
146	4	15
147	4	15
148	4	15
149	8	15
150	8	15
151	8	15
152	8	15
153	8	15
154	8	15
155	0	15
156	2	15
157	4	15
158	7	15
159	8	15
160	8	15
161	2	16
162	2	16
163	1	17
164	0	17
165	2	17
166	6	17
167	4	18
168	4	18
169	8	18
170	9	18
171	0	18
172	2	18
173	3	18
174	7	18
175	9	18
176	0	19
177	0	19
178	1	19
179	1	19
180	1	19
181	2	19
182	2	19
183	4	19
184	4	19
185	8	19
186	8	19
187	9	19
188	0	19
189	2	19
190	3	19
191	3	19
192	6	19
193	7	19
194	7	19
195	7	19
196	8	19
197	1	20
198	1	20
199	4	20
