SSM_index	CNA_index
2	12
3	12
11	27
11	30
12	38
13	24
13	34
14	26
14	35
15	28
15	36
16	28
16	36
17	28
17	36
18	28
18	36
19	10
19	25
22	16
22	18
23	16
23	18
24	20
25	20
26	20
57	24
57	34
58	24
58	34
59	26
59	35
60	23
60	39
61	38
62	38
63	24
63	34
64	24
64	34
66	27
66	30
67	28
67	36
69	22
70	23
71	27
72	27
73	27
77	24
78	26
79	28
80	25
84	27
87	26
88	28
92	28
93	28
94	29
95	29
115	32
116	32
117	32
118	32
119	33
120	39
121	39
122	39
123	39
124	39
125	30
126	38
127	38
128	38
129	38
130	38
131	38
132	38
133	34
134	34
135	34
136	34
137	35
138	35
139	35
140	35
141	35
142	36
143	36
144	36
145	36
146	36
148	37
149	37
159	32
160	32
161	38
162	38
163	38
164	38
165	34
166	35
169	39
170	35
171	39
172	39
173	38
174	38
176	39
