CNA_index	seg_index	subclone_ID	phase	change
0	8	1	B	-1
1	9	3	A	-1
2	15	3	B	-1
3	16	3	B	-1
4	17	4	B	1
5	6	5	B	1
6	6	7	B	2
7	9	7	B	-1
8	11	8	A	-1
9	18	8	B	-1
10	0	9	A	-1
11	5	9	A	-1
12	0	9	B	-1
13	3	10	B	1
14	12	11	B	-1
15	18	12	A	-1
16	17	13	A	-1
17	7	13	B	-1
18	1	14	A	-1
19	9	14	A	-1
20	18	14	B	-1
21	6	15	B	1
22	14	16	A	2
23	16	16	B	-1
24	19	16	B	1
25	19	17	A	-1
26	2	17	B	2
27	17	17	B	1
28	6	18	A	-1
29	7	18	A	1
30	8	18	B	-1
31	9	19	A	-1
32	15	19	A	-1
33	13	19	B	-1
34	8	20	A	-1
35	19	20	A	-1
36	0	20	B	-1
37	1	20	B	-1
38	9	20	B	-1
39	13	20	B	-1
